0	1.6875
007	1.0
01	1.0
01章	1.0
02章	1.0
03章	1.0
04	1.0
04章	1.0
05	1.0
05章	1.0
06	1.0
06章	1.0
07章	1.0
08张	1.0
08章	1.0
09章	1.0
0一	1.5
0年	2.5
1	3.3114755
1.	1.0
10	2.0
1000万钱	1.0
100间	1.0
102个	1.0
107	1.0
10zz	9.0
10岁	1.0
10月	3.0
10章	1.0
11	1.0
1100	1.0
11岁	1.0
11月	4.0
11章	1.0
12	1.0
120卷	1.0
1216	1.0
1237年	2.0
1238年	1.0
1240年	1.0
125个	1.0
1269年	2.0
12层	2.0
12岁	1.0
12月	1.0
12月份	3.0
12盘	1.0
13	1.0
1300页	1.0
1301年	1.0
1329年	1.0
1360年	1.0
1368	1.0
13F	1.0
13日	1.0
14	1.0
1413	1.0
1418	1.0
1449年	1.0
1480年	1.0
14日	1.0
15	1.0
150名	1.0
1553	1.0
1568年	1.0
1569年	1.0
1572年	1.0
1586	1.0
15回	1.0
15岁	3.0
15盘	1.0
16	1.0
1614	1.0
1615年	1.0
1619年	1.0
1620年	2.0
1621年	1.0
1624年	1.0
1625年	2.0
1627年	2.0
1641年	1.0
1692年	1.0
16岁	1.0
16年	1.0
16章	1.0
17	1.0
17日	1.0
18	1.0
1801	1.0
183	5.0
1844年	1.0
1848	1.0
1857	1.0
1859	1.0
1864	1.0
1883年	1.0
1885	1.0
1891年	1.0
1896年	2.0
1897年	1.0
18岁	1.0
18日	2.0
19	1.5
1900年	1.0
1904	1.0
1905年	2.0
1909年	1.0
1910年	1.0
1911一	1.0
1912年	1.5
1913	1.0
1913年	2.0
1915	1.0
1915年	1.0
1920年	2.0
1923年	1.0
1924年	1.0
1925	1.0
1927年	1.0
1929年	2.0
1930年	2.0
1935年	3.0
1940年	2.0
1941年	1.5
1943年	2.0
1944年	1.0
1945年	1.0
1948	3.0
1948年	3.0
1949年	2.6666667
1952年	1.0
1954年	4.3333335
1956	1.0
1956年	1.5
1957年	2.0
1958年	1.0
1960年	1.6666666
1961年	1.0
1962年	1.6666666
1963年	4.0
1964年	1.0
1965.5.1	1.0
1965年	1.0
1966年	1.0
1969年	1.0
1970年	1.0
1973	1.0
1973年	1.0
1975年	1.0
1976年	1.5
1977	1.0
1977年	1.5
1978年	1.0
1979年	4.0
197年	1.0
1980年	3.0
1981年	1.0
1982年	1.0
1983年	2.0
1984年	1.0
1987年	1.6666666
1988年	5.0
1993年	1.0
19世纪	3.0
19岁	2.0
1十	1.0
1月	2.0
2	2.84375
20	2.0
2000	1.0
2005-10-19	4.0
2005-11-4	1.0
2005-6-15	1.0
2005-8-12	5.0
2005-8-13	3.5
2005-8-5	4.5
2005-8-6	8.5
2005-8-7	1.0
2005-9-11	10.0
2005-9-15	13.0
2005-9-16	11.5
2005-9-17	11.5
2006-1-12	8.0
2006-1-13	12.0
2006-1-14	12.0
200年	1.0
20万两	1.0
20世	1.0
20世纪	1.0
20岁	1.0
20年	4.0
20日	1.0
21	1.0
210	1.0
210.29.4.4	2.0
219页	1.0
22	1.0
23	1.0
23456	1.0
23人	1.0
23岁	1.0
24	1.0
240	1.0
2400	1.0
24日	1.0
24页	1.0
25	1.0
25日	1.5
26	1.0
27	1.5
28	1.5
282-283	1.0
285页	2.0
29	1.0
29字	1.0
29岁	1.0
2d	1.0
2k	1.0
2一	1.0
2出	1.0
2日	2.0
2月	2.0
2米	1.0
2路	1.0
2页	1.0
3	1.2727273
30	1.0
300	2.0
3000里	1.0
309	1.0
30卷	1.0
30年	2.5
30年代	1.0
30章	1.0
30页	1.0
31	1.0
31日	1.0
32	1.0
32种	1.0
35岁	1.0
35首	1.0
37	1.0
3752首	1.0
37人	1.0
37天	1.0
38	1.0
39	1.0
39年	1.0
3l	1.0
3年	1.0
3月	1.75
3期	1.0
3派	1.0
4	1.0
40	2.0
40岁	2.0
40年代	1.0
40米	1.0
41	1.0
42	1.0
420	1.0
43	1.0
437	1.0
438页	1.0
43岁	1.0
453页	1.0
47	1.0
496个	1.0
4f	1.0
4日	1.0
4月	4.0
4页	1.0
5	1.2222222
502年	1.0
50卷	1.0
50岁	1.5
50年代	4.5
523年	1.0
529年	1.0
53	1.0
53人	1.0
54321transferinterrupted	1.0
546年	1.0
55	1.0
551年	1.0
552年	2.0
557年	1.0
55字	1.0
567	1.0
56岁	1.5
57	1.0
58	1.0
5c	1.0
5人	1.0
5尺	1.0
5日	1.0
5月	1.0
6	1.0
60	2.0
603	1.0
605	1.0
60周年	1.5
60层	1.0
60年	2.0
60年代	2.0
61年	1.0
632	1.0
68	2.0
68岁	2.0
6l	1.0
6日	2.0
6月	2.0
6米	1.0
7	2.1724138
70	3.5
70年代	1.5
71步	1.0
728	1.0
72位	1.0
72岁	1.0
730	1.0
7b	1.0
7d	1.0
7oo0	1.0
7个	1.0
7列	1.0
7号	1.0
7大	1.0
7字	1.0
7日	1.0
7盏	1.0
7转	1.0
8	1.0
80	3.0
8000	1.0
81	1.0
8231	2.0
841字	2.0
846	1.0
848	1.0
85	1.0
85岁	3.0
87年	1.0
88	1.0
8882公尺	1.0
89	1.0
8oo0	1.0
8刀	1.0
8句	1.0
8日	2.0
8月	2.0
9	1.25
90岁	1.0
93	1.0
97	1.0
9803	1.0
9809	1.0
9817	1.0
99	1.0
9910	1.0
9915	1.0
9章	1.0
A	1.25
B	2.6
BQ	1.0
BertrandRussell	1.0
Boleslaw	1.0
Brunei	1.0
BtAN	1.0
C	8.771428
CO	1.6033058
COM	1.8861789
COm	1.7109375
D	1.2
E	1.0
ECHO	2.0
EdwardGibbon	1.0
Fedora.Golovin	1.0
G	1.0
G.Pereira	1.0
G.daGruz	1.0
Grousset	1.0
H	5.48
HJ	2.852071
HJ.	1.8951613
HJ.C	1.7603306
HJ.CO	1.0
HJ.COM	1.0689656
HJ.COm	1.1304348
Haschachin	1.0
I	1.0
J	5.255102
J.	3.180791
J.C	2.1790123
J.CO	1.1363636
J.COM	1.1142857
J.COm	1.051282
K	2.6666667
L	1.0
L.J.Gallagher	1.0
L.carringtonGoodrich	1.0
Liegnitz	1.0
M	7.3459716
M.deRade	1.0
N	1.0
O	2.014706
OCR	7.5
OM	1.8978102
Om	1.952
P.463-464	1.0
Pi	1.0
Q	2.5
R	1.0
Ren	1.0
S.J.tr.	1.0
Southchinainthe16thGentury	1.0
T	1.5
TXT	1.0
TheDeclineandFalloftheRomanEmpire	1.0
TheHeritagePress	1.0
TheLadderofSuccessinimperialchina	1.0
TheProblemofchina	1.0
TravelandTravellersoftheMiddleages	1.0
W	1.0
WWW.azbbs.com	1.0
WaP.azbbs.com	1.0
Wap.azbbs.com	1.5
Wassaf	1.0
Wenceslas	1.0
WolframEberhard	1.0
Www.azbbs.com	1.5
X	10.189573
XX	1.0
XXX	1.0
XXXXXXXXXXXXXXXXXXXXXXXXXXX	1.0
Z	1.0
a	3.6923077
